Date,Year,Month,Elec_price,CO2_price,Gas_price,Coal_price,Brent_price,Coal_gen,Coal_cap,Coal_LF,CCGT_gen,CCGT_cap,CCGT_LF,Fuel_gen,Fuel_cap,Fuel_LF,Nuclear_gen,Nuclear_cap,Nuclear_LF,Hydro_gen,Hydro_cap,Hydro_LF,Wind_gen,Wind_cap,Wind_LF,PV_gen,PV_cap,PV_LF,CSP_gen,CSP_cap,CSP_LF,Cogen_gen,Cogen_cap,Cogen_LF,OtherRES_gen,OtherRES_cap,OtherRES_LF,Waste_gen,Waste_cap,Waste_LF,Demand
2000-1,2000,Jan,32.33,0,11.06,32.68,27.58,6647,11542,0.77,0,0,0,1114,8214,0.18,5459,7799,0.94,2877.84,16524,0.23,305,1705.05,0.24,0,0,0,0,0,0,1566,4240.49,0.5,78,88.33,1.19,18.88,29.28,0.87,17848.18
2000-2,2000,Feb,35.05,0,11.06,34.68,30.03,6310,11542,0.81,0,0,0,491,8214,0.09,5121,7799,0.98,1881.36,16524,0.17,295,1742.85,0.25,0,0,0,0,0,0,1436,4278.33,0.5,72,88.33,1.21,11.82,29.28,0.6,15690.15
2000-3,2000,Mar,37.54,0,11.42,36.76,29.72,6445,11542,0.75,0,0,0,1133,8214,0.19,4959,7799,0.85,1816.15,16524,0.15,338,1856.99,0.24,0,0,0,0,0,0,1554,4312.62,0.48,82,90.28,1.22,13.19,29.28,0.61,16383.46
2000-4,2000,Apr,32.07,0,11.55,37.42,24.66,5441,11542,0.65,0,0,0,725,8214,0.12,4468,7799,0.8,2631.07,16524,0.22,416,1912.91,0.3,0,0,0,0,0,0,1468,4420.78,0.46,76,95.55,1.1,17.45,29.28,0.83,15202.17
2000-5,2000,May,24.37,0,11.23,37.74,29.8,4906,11542,0.57,0,0,0,174,8214,0.03,4874,7799,0.84,3839.13,16524,0.31,227,1948.21,0.16,0,0,0,0,0,0,1468,4461.6,0.44,57,95.55,0.8,16.49,33.31,0.67,15565.92
2000-6,2000,Jun,26.33,0,11.28,38.35,32.21,5885,11542,0.71,0,0,0,674,8214,0.11,5232,7799,0.93,2627.08,16524,0.22,366,2006.53,0.25,0,0,0,0,0,0,1425,4491.77,0.44,65,98.75,0.91,15.05,33.31,0.63,16093.05
2000-7,2000,Jul,29.54,0,11.48,39.11,31.01,6534,11542,0.76,0,0,0,890,8214,0.15,5359,7799,0.92,1999.1,16524,0.16,360,2017.33,0.24,0,0,0,0,0,0,1438,4567.27,0.42,80,98.75,1.09,13.73,33.31,0.55,16575.97
2000-8,2000,Aug,27.64,0,11.67,39.07,32.65,6263,11542,0.73,0,0,0,737,8214,0.12,5001,7799,0.86,1951.26,16524,0.16,316,2091.25,0.2,0,0,0,0,0,0,1347,4616.37,0.39,78,99.75,1.05,13.51,33.31,0.55,15637.91
2000-9,2000,Sep,38.71,0,11.82,40.38,35.84,6675,11542,0.8,0,0,0,1450,8214,0.25,4031,7799,0.72,2041.26,16524,0.17,276,2202.98,0.17,0,0,0,0,0,0,1375,4637.89,0.41,86,132.15,0.9,14.47,33.31,0.6,16002.35
2000-10,2000,Oct,39.87,0,12.2,43.97,33.47,6593,11542,0.77,0,0,0,931,8214,0.15,4408,7799,0.76,2018.69,16524,0.16,410,2202.98,0.25,0,0,0,0,0,0,1450,4650.32,0.42,92,134.16,0.92,11.75,47.45,0.33,15963.71
2000-11,2000,Nov,36.68,0,12.73,45.91,35.19,6222,11542,0.75,0,0,0,755,8214,0.13,5065,7799,0.9,2854.38,16524,0.24,544,2235.32,0.34,0,0,0,0,0,0,1350,4814.59,0.39,97,137.5,0.98,23.3,72.2,0.45,16908.23
2000-12,2000,Dec,21.82,0,13.14,46.24,27.56,4308,11542,0.5,0,0,0,491,8214,0.08,5553,7799,0.96,5141.43,16524,0.42,609,2283.27,0.36,0,0,0,0,0,0,1482,4930.42,0.4,99,147.65,0.9,24.17,81.08,0.4,17134.1
2001-1,2001,Jan,21.84,0,13.38,46.9,28.6,3864,11565,0.45,0,0,0,502,8214,0.08,5502,7816,0.95,6835.94,16579,0.55,595,2357.57,0.34,0,0,0,0,0,0,1508,4911.94,0.41,114,149.76,1.02,37.05,81.08,0.61,18290.92
2001-2,2001,Feb,20.45,0,13.18,45.96,30.69,3418,11565,0.44,0,0,0,407,8214,0.07,4781,7816,0.91,6122.28,16579,0.55,574,2484.69,0.34,0,0,0,0,0,0,1419,4969.44,0.42,103,155.76,0.98,30.15,99.79,0.45,16494.73
2001-3,2001,Mar,18.25,0,12.98,46.5,27.34,3396,11565,0.39,0,0,0,415,8214,0.07,4682,7816,0.81,7028.47,16579,0.57,654,2596.59,0.34,0,0,0,0,0,0,1478,4993.32,0.4,115,156.76,0.99,37.01,103.86,0.48,17243.79
2001-4,2001,Apr,20.84,0,12.46,46.18,28.63,3806,11565,0.46,0,0,0,163,8214,0.03,4579,7816,0.81,4628.98,16579,0.39,650,2597.25,0.35,0,0,0,0,0,0,1390,4993.32,0.39,107,156.76,0.95,35.95,103.86,0.48,15533.35
2001-5,2001,May,27.31,0,11.96,46.66,31.6,4867,11565,0.57,0,0,0,332,8214,0.05,5513,7816,0.95,3631.49,16579,0.29,424,2691.84,0.21,0,0,0,0,0,0,1477,5190.31,0.38,116,156.76,0.99,41.32,109.98,0.5,16693.17
2001-6,2001,Jun,36.85,0,11.57,46.33,31.08,5835,11565,0.7,0,0,0,1149,8214,0.19,5104,7816,0.91,2791.39,16579,0.23,409,2803.26,0.2,0,0,0,0,0,0,1416,5286.36,0.37,163,161.99,1.4,42.37,109.98,0.54,17087.27
2001-7,2001,Jul,36.03,0,11.51,44.72,27.47,6386,11565,0.74,0,0,0,1352,8214,0.22,5433,7816,0.93,2327.88,16579,0.19,400,2909.2,0.18,0,0,0,0,0,0,1480,5340.6,0.37,164,176.99,1.25,46.74,124.98,0.5,17645.78
2001-8,2001,Aug,29.91,0,11.46,42.3,28.66,6262,11565,0.73,0,0,0,1202,8214,0.2,5309,7816,0.91,2180.34,16579,0.18,375,2928.7,0.17,0,0,0,0,0,0,1313,5391.08,0.33,143,176.99,1.09,49.55,124.98,0.53,16750.48
